S(t),I(t),R(t),mortes,tempo(t)
0.0000,17.7675,432.2321,8.6446,289.0
0.0000,17.6666,432.3330,8.6467,289.5
0.0000,17.5662,432.4334,8.6487,290.0
0.0000,17.4664,432.5332,8.6507,290.5
0.0000,17.3671,432.6324,8.6526,291.0
0.0000,17.2684,432.7311,8.6546,291.5
0.0000,17.1703,432.8292,8.6566,292.0
0.0000,17.0728,432.9268,8.6585,292.5
0.0000,16.9758,433.0238,8.6605,293.0
0.0000,16.8793,433.1203,8.6624,293.5
0.0000,16.7834,433.2162,8.6643,294.0
0.0000,16.6881,433.3116,8.6662,294.5
0.0000,16.5932,433.4064,8.6681,295.0
0.0000,16.4990,433.5006,8.6700,295.5
0.0000,16.4052,433.5944,8.6719,296.0
0.0000,16.3120,433.6876,8.6738,296.5
0.0000,16.2193,433.7803,8.6756,297.0
0.0000,16.1272,433.8724,8.6774,297.5
0.0000,16.0355,433.9641,8.6793,298.0
0.0000,15.9444,434.0552,8.6811,298.5
0.0000,15.8538,434.1458,8.6829,299.0
0.0000,15.7637,434.2359,8.6847,299.5
0.0000,15.6742,434.3255,8.6865,300.0
0.0000,15.5851,434.4145,8.6883,300.5
0.0000,15.4966,434.5031,8.6901,301.0
0.0000,15.4085,434.5911,8.6918,301.5
0.0000,15.3210,434.6787,8.6936,302.0
0.0000,15.2339,434.7657,8.6953,302.5
0.0000,15.1474,434.8523,8.6970,303.0
0.0000,15.0613,434.9383,8.6988,303.5
0.0000,14.9757,435.0239,8.7005,304.0
0.0000,14.8906,435.1090,8.7022,304.5
0.0000,14.8060,435.1936,8.7039,305.0
0.0000,14.7219,435.2777,8.7056,305.5
0.0000,14.6383,435.3614,8.7072,306.0
0.0000,14.5551,435.4445,8.7089,306.5
0.0000,14.4724,435.5272,8.7105,307.0
0.0000,14.3902,435.6094,8.7122,307.5
0.0000,14.3084,435.6912,8.7138,308.0
0.0000,14.2271,435.7725,8.7155,308.5
0.0000,14.1463,435.8533,8.7171,309.0
0.0000,14.0659,435.9337,8.7187,309.5
0.0000,13.9860,436.0136,8.7203,310.0
0.0000,13.9065,436.0931,8.7219,310.5
0.0000,13.8275,436.1721,8.7234,311.0
0.0000,13.7489,436.2507,8.7250,311.5
0.0000,13.6708,436.3288,8.7266,312.0
0.0000,13.5931,436.4065,8.7281,312.5
0.0000,13.5159,436.4837,8.7297,313.0
0.0000,13.4391,436.5605,8.7312,313.5
0.0000,13.3627,436.6368,8.7327,314.0
0.0000,13.2868,436.7128,8.7343,314.5
0.0000,13.2113,436.7883,8.7358,315.0
0.0000,13.1363,436.8633,8.7373,315.5
0.0000,13.0616,436.9380,8.7388,316.0
0.0000,12.9874,437.0122,8.7402,316.5
0.0000,12.9136,437.0860,8.7417,317.0
0.0000,12.8402,437.1594,8.7432,317.5
0.0000,12.7673,437.2323,8.7446,318.0
0.0000,12.6947,437.3049,8.7461,318.5
0.0000,12.6226,437.3770,8.7475,319.0
0.0000,12.5509,437.4487,8.7490,319.5
0.0000,12.4796,437.5201,8.7504,320.0
0.0000,12.4087,437.5909,8.7518,320.5
0.0000,12.3382,437.6614,8.7532,321.0
0.0000,12.2681,437.7315,8.7546,321.5
0.0000,12.1984,437.8012,8.7560,322.0
0.0000,12.1291,437.8705,8.7574,322.5
0.0000,12.0601,437.9395,8.7588,323.0
0.0000,11.9916,438.0080,8.7602,323.5
0.0000,11.9235,438.0761,8.7615,324.0
0.0000,11.8557,438.1439,8.7629,324.5
0.0000,11.7884,438.2112,8.7642,325.0
0.0000,11.7214,438.2782,8.7656,325.5
0.0000,11.6548,438.3448,8.7669,326.0
0.0000,11.5886,438.4110,8.7682,326.5
0.0000,11.5227,438.4769,8.7695,327.0
0.0000,11.4573,438.5423,8.7708,327.5
0.0000,11.3922,438.6074,8.7721,328.0
0.0000,11.3274,438.6721,8.7734,328.5
0.0000,11.2631,438.7365,8.7747,329.0
0.0000,11.1991,438.8005,8.7760,329.5
0.0000,11.1354,438.8641,8.7773,330.0
0.0000,11.0722,438.9274,8.7785,330.5
0.0000,11.0093,438.9903,8.7798,331.0
0.0000,10.9467,439.0529,8.7811,331.5
0.0000,10.8845,439.1151,8.7823,332.0
0.0000,10.8227,439.1769,8.7835,332.5
0.0000,10.7612,439.2384,8.7848,333.0
0.0000,10.7000,439.2995,8.7860,333.5
0.0000,10.6392,439.3603,8.7872,334.0
0.0000,10.5788,439.4208,8.7884,334.5
0.0000,10.5187,439.4809,8.7896,335.0
0.0000,10.4589,439.5406,8.7908,335.5
0.0000,10.3995,439.6001,8.7920,336.0
0.0000,10.3404,439.6591,8.7932,336.5
0.0000,10.2817,439.7179,8.7944,337.0
0.0000,10.2232,439.7763,8.7955,337.5
0.0000,10.1651,439.8344,8.7967,338.0
0.0000,10.1074,439.8922,8.7978,338.5
0.0000,10.0500,439.9496,8.7990,339.0
0.0000,9.9929,440.0067,8.8001,339.5
0.0000,9.9361,440.0634,8.8013,340.0
0.0000,9.8796,440.1199,8.8024,340.5
0.0000,9.8235,440.1760,8.8035,341.0
0.0000,9.7677,440.2318,8.8046,341.5
0.0000,9.7122,440.2874,8.8057,342.0
0.0000,9.6570,440.3425,8.8069,342.5
0.0000,9.6021,440.3974,8.8079,343.0
0.0000,9.5476,440.4520,8.8090,343.5
0.0000,9.4933,440.5062,8.8101,344.0
0.0000,9.4394,440.5602,8.8112,344.5
0.0000,9.3857,440.6138,8.8123,345.0
0.0000,9.3324,440.6671,8.8133,345.5
0.0000,9.2794,440.7201,8.8144,346.0
0.0000,9.2267,440.7729,8.8155,346.5
0.0000,9.1742,440.8253,8.8165,347.0
0.0000,9.1221,440.8774,8.8175,347.5
0.0000,9.0703,440.9292,8.8186,348.0
0.0000,9.0188,440.9808,8.8196,348.5
0.0000,8.9675,441.0320,8.8206,349.0
0.0000,8.9166,441.0830,8.8217,349.5
0.0000,8.8659,441.1336,8.8227,350.0
0.0000,8.8155,441.1840,8.8237,350.5
0.0000,8.7654,441.2341,8.8247,351.0
0.0000,8.7156,441.2839,8.8257,351.5
0.0000,8.6661,441.3334,8.8267,352.0
0.0000,8.6169,441.3827,8.8277,352.5
0.0000,8.5679,441.4316,8.8286,353.0
0.0000,8.5192,441.4803,8.8296,353.5
0.0000,8.4708,441.5287,8.8306,354.0
0.0000,8.4227,441.5768,8.8315,354.5
0.0000,8.3748,441.6247,8.8325,355.0
0.0000,8.3273,441.6722,8.8334,355.5
0.0000,8.2799,441.7195,8.8344,356.0
0.0000,8.2329,441.7666,8.8353,356.5
0.0000,8.1861,441.8134,8.8363,357.0
0.0000,8.1396,441.8599,8.8372,357.5
0.0000,8.0934,441.9061,8.8381,358.0
0.0000,8.0474,441.9521,8.8390,358.5
0.0000,8.0017,441.9978,8.8400,359.0
0.0000,7.9562,442.0433,8.8409,359.5
0.0000,7.9110,442.0885,8.8418,360.0
0.0000,7.8660,442.1335,8.8427,360.5
0.0000,7.8213,442.1782,8.8436,361.0
0.0000,7.7769,442.2226,8.8445,361.5
0.0000,7.7327,442.2668,8.8453,362.0
0.0000,7.6888,442.3107,8.8462,362.5
0.0000,7.6451,442.3544,8.8471,363.0
0.0000,7.6017,442.3979,8.8480,363.5
0.0000,7.5585,442.4410,8.8488,364.0
0.0000,7.5155,442.4840,8.8497,364.5
0.0000,7.4728,442.5267,8.8505,365.0
0.0000,7.4304,442.5691,8.8514,365.5
0.0000,7.3881,442.6113,8.8522,366.0
0.0000,7.3462,442.6533,8.8531,366.5
0.0000,7.3044,442.6951,8.8539,367.0
0.0000,7.2629,442.7366,8.8547,367.5
0.0000,7.2217,442.7778,8.8556,368.0
0.0000,7.1806,442.8189,8.8564,368.5
0.0000,7.1398,442.8597,8.8572,369.0
0.0000,7.0993,442.9002,8.8580,369.5
0.0000,7.0589,442.9406,8.8588,370.0
0.0000,7.0188,442.9807,8.8596,370.5
0.0000,6.9789,443.0206,8.8604,371.0
0.0000,6.9393,443.0602,8.8612,371.5
0.0000,6.8998,443.0996,8.8620,372.0
0.0000,6.8606,443.1389,8.8628,372.5
0.0000,6.8217,443.1778,8.8636,373.0
0.0000,6.7829,443.2166,8.8643,373.5
0.0000,6.7444,443.2551,8.8651,374.0
0.0000,6.7060,443.2935,8.8659,374.5
0.0000,6.6679,443.3316,8.8666,375.0
0.0000,6.6301,443.3694,8.8674,375.5
0.0000,6.5924,443.4071,8.8681,376.0
0.0000,6.5549,443.4445,8.8689,376.5
0.0000,6.5177,443.4818,8.8696,377.0
0.0000,6.4807,443.5188,8.8704,377.5
0.0000,6.4438,443.5556,8.8711,378.0
0.0000,6.4072,443.5923,8.8718,378.5
0.0000,6.3708,443.6287,8.8726,379.0
0.0000,6.3346,443.6649,8.8733,379.5
0.0000,6.2986,443.7008,8.8740,380.0
0.0000,6.2628,443.7366,8.8747,380.5
0.0000,6.2273,443.7722,8.8754,381.0
0.0000,6.1919,443.8076,8.8762,381.5
0.0000,6.1567,443.8428,8.8769,382.0
0.0000,6.1217,443.8777,8.8776,382.5
0.0000,6.0869,443.9125,8.8783,383.0
0.0000,6.0523,443.9471,8.8789,383.5
0.0000,6.0180,443.9815,8.8796,384.0
0.0000,5.9838,444.0157,8.8803,384.5
0.0000,5.9498,444.0497,8.8810,385.0
0.0000,5.9160,444.0835,8.8817,385.5
0.0000,5.8823,444.1171,8.8823,386.0
0.0000,5.8489,444.1505,8.8830,386.5
0.0000,5.8157,444.1837,8.8837,387.0
0.0000,5.7826,444.2168,8.8843,387.5
0.0000,5.7498,444.2497,8.8850,388.0
0.0000,5.7171,444.2823,8.8856,388.5
0.0000,5.6846,444.3148,8.8863,389.0
0.0000,5.6523,444.3471,8.8869,389.5
0.0000,5.6202,444.3792,8.8876,390.0
0.0000,5.5883,444.4111,8.8882,390.5
0.0000,5.5565,444.4429,8.8889,391.0
0.0000,5.5250,444.4745,8.8895,391.5
0.0000,5.4936,444.5059,8.8901,392.0
0.0000,5.4624,444.5371,8.8907,392.5
0.0000,5.4313,444.5681,8.8914,393.0
0.0000,5.4005,444.5990,8.8920,393.5
0.0000,5.3698,444.6296,8.8926,394.0
0.0000,5.3393,444.6602,8.8932,394.5
0.0000,5.3089,444.6905,8.8938,395.0
0.0000,5.2788,444.7206,8.8944,395.5
0.0000,5.2488,444.7506,8.8950,396.0
0.0000,5.2190,444.7805,8.8956,396.5
0.0000,5.1893,444.8101,8.8962,397.0
0.0000,5.1598,444.8396,8.8968,397.5
0.0000,5.1305,444.8689,8.8974,398.0
0.0000,5.1013,444.8981,8.8980,398.5
0.0000,5.0724,444.9271,8.8985,399.0
0.0000,5.0435,444.9559,8.8991,399.5
0.0000,5.0149,444.9845,8.8997,400.0
0.0000,4.9864,445.0130,8.9003,400.5
0.0000,4.9581,445.0414,8.9008,401.0
0.0000,4.9299,445.0695,8.9014,401.5
0.0000,4.9019,445.0975,8.9020,402.0
0.0000,4.8740,445.1254,8.9025,402.5
0.0000,4.8463,445.1531,8.9031,403.0
0.0000,4.8188,445.1806,8.9036,403.5
0.0000,4.7914,445.2080,8.9042,404.0
0.0000,4.7642,445.2352,8.9047,404.5
0.0000,4.7371,445.2623,8.9052,405.0
0.0000,4.7102,445.2892,8.9058,405.5
0.0000,4.6834,445.3159,8.9063,406.0
0.0000,4.6568,445.3426,8.9069,406.5
0.0000,4.6304,445.3690,8.9074,407.0
0.0000,4.6041,445.3953,8.9079,407.5
0.0000,4.5779,445.4215,8.9084,408.0
0.0000,4.5519,445.4475,8.9089,408.5
0.0000,4.5260,445.4733,8.9095,409.0
0.0000,4.5003,445.4991,8.9100,409.5
0.0000,4.4747,445.5246,8.9105,410.0
0.0000,4.4493,445.5500,8.9110,410.5
0.0000,4.4240,445.5753,8.9115,411.0
0.0000,4.3989,445.6005,8.9120,411.5
0.0000,4.3739,445.6255,8.9125,412.0
0.0000,4.3491,445.6503,8.9130,412.5
0.0000,4.3244,445.6750,8.9135,413.0
0.0000,4.2998,445.6996,8.9140,413.5
0.0000,4.2754,445.7240,8.9145,414.0
0.0000,4.2511,445.7483,8.9150,414.5
0.0000,4.2269,445.7725,8.9154,415.0
0.0000,4.2029,445.7965,8.9159,415.5
0.0000,4.1790,445.8204,8.9164,416.0
0.0000,4.1553,445.8441,8.9169,416.5
0.0000,4.1317,445.8677,8.9174,417.0
0.0000,4.1082,445.8912,8.9178,417.5
0.0000,4.0848,445.9146,8.9183,418.0
0.0000,4.0616,445.9378,8.9188,418.5
0.0000,4.0385,445.9608,8.9192,419.0
0.0000,4.0156,445.9838,8.9197,419.5
0.0000,3.9928,446.0066,8.9201,420.0
0.0000,3.9701,446.0293,8.9206,420.5
0.0000,3.9475,446.0518,8.9210,421.0
0.0000,3.9251,446.0743,8.9215,421.5
0.0000,3.9028,446.0966,8.9219,422.0
0.0000,3.8806,446.1188,8.9224,422.5
0.0000,3.8586,446.1408,8.9228,423.0
0.0000,3.8367,446.1628,8.9233,423.5
0.0000,3.8149,446.1845,8.9237,424.0
0.0000,3.7932,446.2062,8.9241,424.5
0.0000,3.7716,446.2278,8.9246,425.0
0.0000,3.7502,446.2492,8.9250,425.5
0.0000,3.7289,446.2705,8.9254,426.0
0.0000,3.7077,446.2917,8.9258,426.5
0.0000,3.6866,446.3127,8.9263,427.0
0.0000,3.6657,446.3336,8.9267,427.5
0.0000,3.6449,446.3545,8.9271,428.0
0.0000,3.6242,446.3752,8.9275,428.5
0.0000,3.6036,446.3958,8.9279,429.0
0.0000,3.5831,446.4163,8.9283,429.5
0.0000,3.5627,446.4366,8.9287,430.0
0.0000,3.5425,446.4568,8.9291,430.5
0.0000,3.5224,446.4770,8.9295,431.0
0.0000,3.5024,446.4970,8.9299,431.5
0.0000,3.4825,446.5169,8.9303,432.0
0.0000,3.4627,446.5367,8.9307,432.5
0.0000,3.4430,446.5564,8.9311,433.0
0.0000,3.4234,446.5759,8.9315,433.5
0.0000,3.4040,446.5954,8.9319,434.0
0.0000,3.3846,446.6147,8.9323,434.5
0.0000,3.3654,446.6339,8.9327,435.0
0.0000,3.3463,446.6531,8.9331,435.5
0.0000,3.3273,446.6721,8.9334,436.0
0.0000,3.3084,446.6910,8.9338,436.5
0.0000,3.2896,446.7098,8.9342,437.0
0.0000,3.2709,446.7285,8.9346,437.5
0.0000,3.2523,446.7470,8.9349,438.0
0.0000,3.2338,446.7655,8.9353,438.5
0.0000,3.2154,446.7839,8.9357,439.0
0.0000,3.1972,446.8022,8.9360,439.5
0.0000,3.1790,446.8203,8.9364,440.0
0.0000,3.1609,446.8384,8.9368,440.5
0.0000,3.1430,446.8564,8.9371,441.0
0.0000,3.1251,446.8742,8.9375,441.5
0.0000,3.1074,446.8920,8.9378,442.0
0.0000,3.0897,446.9097,8.9382,442.5
0.0000,3.0722,446.9272,8.9385,443.0
0.0000,3.0547,446.9447,8.9389,443.5
0.0000,3.0373,446.9620,8.9392,444.0
0.0000,3.0201,446.9793,8.9396,444.5
0.0000,3.0029,446.9964,8.9399,445.0
0.0000,2.9859,447.0135,8.9403,445.5
0.0000,2.9689,447.0305,8.9406,446.0
0.0000,2.9520,447.0473,8.9409,446.5
0.0000,2.9353,447.0641,8.9413,447.0
0.0000,2.9186,447.0808,8.9416,447.5
0.0000,2.9020,447.0974,8.9419,448.0
0.0000,2.8855,447.1138,8.9423,448.5
0.0000,2.8691,447.1302,8.9426,449.0
0.0000,2.8528,447.1465,8.9429,449.5
0.0000,2.8366,447.1627,8.9433,450.0
0.0000,2.8205,447.1788,8.9436,450.5
0.0000,2.8045,447.1949,8.9439,451.0
0.0000,2.7885,447.2108,8.9442,451.5
0.0000,2.7727,447.2266,8.9445,452.0
0.0000,2.7569,447.2424,8.9448,452.5
0.0000,2.7413,447.2580,8.9452,453.0
0.0000,2.7257,447.2736,8.9455,453.5
0.0000,2.7102,447.2891,8.9458,454.0
0.0000,2.6948,447.3045,8.9461,454.5
0.0000,2.6795,447.3198,8.9464,455.0
0.0000,2.6643,447.3350,8.9467,455.5
0.0000,2.6491,447.3502,8.9470,456.0
0.0000,2.6341,447.3652,8.9473,456.5
0.0000,2.6191,447.3802,8.9476,457.0
0.0000,2.6042,447.3951,8.9479,457.5
0.0000,2.5894,447.4099,8.9482,458.0
0.0000,2.5747,447.4246,8.9485,458.5
0.0000,2.5601,447.4392,8.9488,459.0
0.0000,2.5455,447.4537,8.9491,459.5
0.0000,2.5311,447.4682,8.9494,460.0
0.0000,2.5167,447.4826,8.9497,460.5
0.0000,2.5024,447.4969,8.9499,461.0
0.0000,2.4882,447.5111,8.9502,461.5
0.0000,2.4740,447.5252,8.9505,462.0
0.0000,2.4600,447.5393,8.9508,462.5
0.0000,2.4460,447.5533,8.9511,463.0
0.0000,2.4321,447.5672,8.9513,463.5
0.0000,2.4183,447.5810,8.9516,464.0
0.0000,2.4046,447.5947,8.9519,464.5
0.0000,2.3909,447.6084,8.9522,465.0
0.0000,2.3773,447.6220,8.9524,465.5
0.0000,2.3638,447.6355,8.9527,466.0
0.0000,2.3504,447.6489,8.9530,466.5
0.0000,2.3370,447.6623,8.9532,467.0
0.0000,2.3237,447.6756,8.9535,467.5
0.0000,2.3105,447.6888,8.9538,468.0
0.0000,2.2974,447.7019,8.9540,468.5
0.0000,2.2844,447.7150,8.9543,469.0
0.0000,2.2714,447.7279,8.9546,469.5
0.0000,2.2585,447.7408,8.9548,470.0
0.0000,2.2456,447.7537,8.9551,470.5
0.0000,2.2329,447.7664,8.9553,471.0
0.0000,2.2202,447.7791,8.9556,471.5
0.0000,2.2076,447.7917,8.9558,472.0
0.0000,2.1950,447.8043,8.9561,472.5
0.0000,2.1826,447.8167,8.9563,473.0
0.0000,2.1702,447.8291,8.9566,473.5
0.0000,2.1578,447.8415,8.9568,474.0
0.0000,2.1456,447.8537,8.9571,474.5
0.0000,2.1334,447.8659,8.9573,475.0
0.0000,2.1213,447.8780,8.9576,475.5
0.0000,2.1092,447.8901,8.9578,476.0
0.0000,2.0972,447.9021,8.9580,476.5
0.0000,2.0853,447.9140,8.9583,477.0
0.0000,2.0735,447.9258,8.9585,477.5
0.0000,2.0617,447.9376,8.9588,478.0
0.0000,2.0500,447.9493,8.9590,478.5
0.0000,2.0383,447.9610,8.9592,479.0
0.0000,2.0267,447.9725,8.9595,479.5
0.0000,2.0152,447.9840,8.9597,480.0
0.0000,2.0038,447.9955,8.9599,480.5
0.0000,1.9924,448.0069,8.9601,481.0
0.0000,1.9811,448.0182,8.9604,481.5
0.0000,1.9698,448.0294,8.9606,482.0
0.0000,1.9586,448.0406,8.9608,482.5
0.0000,1.9475,448.0518,8.9610,483.0
0.0000,1.9364,448.0629,8.9613,483.5
0.0000,1.9254,448.0739,8.9615,484.0
0.0000,1.9145,448.0848,8.9617,484.5
0.0000,1.9036,448.0957,8.9619,485.0
0.0000,1.8928,448.1065,8.9621,485.5
0.0000,1.8820,448.1172,8.9623,486.0
0.0000,1.8713,448.1279,8.9626,486.5
0.0000,1.8607,448.1385,8.9628,487.0
0.0000,1.8501,448.1491,8.9630,487.5
0.0000,1.8396,448.1596,8.9632,488.0
0.0000,1.8292,448.1700,8.9634,488.5
0.0000,1.8188,448.1805,8.9636,489.0
0.0000,1.8084,448.1908,8.9638,489.5
0.0000,1.7982,448.2011,8.9640,490.0
0.0000,1.7879,448.2113,8.9642,490.5
0.0000,1.7778,448.2215,8.9644,491.0
0.0000,1.7677,448.2316,8.9646,491.5
0.0000,1.7576,448.2416,8.9648,492.0
0.0000,1.7477,448.2516,8.9650,492.5
0.0000,1.7377,448.2615,8.9652,493.0
0.0000,1.7279,448.2714,8.9654,493.5
0.0000,1.7180,448.2812,8.9656,494.0
0.0000,1.7083,448.2910,8.9658,494.5
0.0000,1.6986,448.3007,8.9660,495.0
0.0000,1.6889,448.3103,8.9662,495.5
0.0000,1.6793,448.3199,8.9664,496.0
0.0000,1.6698,448.3295,8.9666,496.5
0.0000,1.6603,448.3390,8.9668,497.0
0.0000,1.6509,448.3484,8.9670,497.5
0.0000,1.6415,448.3578,8.9672,498.0
0.0000,1.6322,448.3671,8.9673,498.5
0.0000,1.6229,448.3764,8.9675,499.0
0.0000,1.6137,448.3856,8.9677,499.5
0.0000,1.6045,448.3947,8.9679,500.0
0.0000,1.5954,448.4039,8.9681,500.5
0.0000,1.5863,448.4129,8.9683,501.0
0.0000,1.5773,448.4219,8.9684,501.5
0.0000,1.5683,448.4309,8.9686,502.0
0.0000,1.5594,448.4398,8.9688,502.5
0.0000,1.5506,448.4487,8.9690,503.0
0.0000,1.5418,448.4575,8.9691,503.5
0.0000,1.5330,448.4662,8.9693,504.0
