S(t),I(t),R(t),mortes,tempo(t)
0.0000,247.1157,202.8843,4.0577,58.0
0.0000,245.7116,204.2884,4.0858,58.5
0.0000,244.3155,205.6845,4.1137,59.0
0.0000,242.9274,207.0726,4.1415,59.5
0.0000,241.5471,208.4529,4.1691,60.0
0.0000,240.1747,209.8253,4.1965,60.5
0.0000,238.8100,211.1899,4.2238,61.0
0.0000,237.4532,212.5468,4.2509,61.5
0.0000,236.1040,213.8960,4.2779,62.0
0.0000,234.7625,215.2375,4.3047,62.5
0.0000,233.4286,216.5714,4.3314,63.0
0.0000,232.1023,217.8977,4.3580,63.5
0.0000,230.7836,219.2164,4.3843,64.0
0.0000,229.4723,220.5277,4.4106,64.5
0.0000,228.1685,221.8315,4.4366,65.0
0.0000,226.8721,223.1279,4.4626,65.5
0.0000,225.5830,224.4170,4.4883,66.0
0.0000,224.3013,225.6987,4.5140,66.5
0.0000,223.0269,226.9731,4.5395,67.0
0.0000,221.7597,228.2403,4.5648,67.5
0.0000,220.4997,229.5003,4.5900,68.0
0.0000,219.2468,230.7532,4.6151,68.5
0.0000,218.0011,231.9989,4.6400,69.0
0.0000,216.7625,233.2375,4.6648,69.5
0.0000,215.5309,234.4691,4.6894,70.0
0.0000,214.3062,235.6937,4.7139,70.5
0.0000,213.0886,236.9114,4.7382,71.0
0.0000,211.8779,238.1221,4.7624,71.5
0.0000,210.6740,239.3260,4.7865,72.0
0.0000,209.4770,240.5230,4.8105,72.5
0.0000,208.2868,241.7132,4.8343,73.0
0.0000,207.1033,242.8966,4.8579,73.5
0.0000,205.9266,244.0734,4.8815,74.0
0.0000,204.7566,245.2434,4.9049,74.5
0.0000,203.5932,246.4068,4.9281,75.0
0.0000,202.4364,247.5636,4.9513,75.5
0.0000,201.2862,248.7138,4.9743,76.0
0.0000,200.1425,249.8575,4.9971,76.5
0.0000,199.0053,250.9946,5.0199,77.0
0.0000,197.8746,252.1254,5.0425,77.5
0.0000,196.7504,253.2496,5.0650,78.0
0.0000,195.6324,254.3675,5.0874,78.5
0.0000,194.5209,255.4791,5.1096,79.0
0.0000,193.4157,256.5843,5.1317,79.5
0.0000,192.3167,257.6833,5.1537,80.0
0.0000,191.2240,258.7760,5.1755,80.5
0.0000,190.1375,259.8625,5.1972,81.0
0.0000,189.0572,260.9428,5.2189,81.5
0.0000,187.9830,262.0170,5.2403,82.0
0.0000,186.9149,263.0851,5.2617,82.5
0.0000,185.8529,264.1471,5.2829,83.0
0.0000,184.7969,265.2030,5.3041,83.5
0.0000,183.7469,266.2530,5.3251,84.0
0.0000,182.7029,267.2970,5.3459,84.5
