S(t),I(t),R(t),mortes(t),tempo
59.9216,8.3318,1.7466,0.0349,27.5
59.8717,8.3628,1.7656,0.0353,27.6
59.8216,8.3938,1.7846,0.0357,27.7
59.7714,8.4250,1.8037,0.0361,27.8
59.7210,8.4562,1.8228,0.0365,27.9
59.6705,8.4875,1.8420,0.0368,28.0
59.6199,8.5188,1.8613,0.0372,28.1
59.5691,8.5502,1.8807,0.0376,28.2
59.5182,8.5817,1.9001,0.0380,28.3
59.4671,8.6133,1.9196,0.0384,28.4
59.4159,8.6450,1.9392,0.0388,28.5
59.3645,8.6767,1.9588,0.0392,28.6
59.3130,8.7085,1.9786,0.0396,28.7
59.2613,8.7403,1.9983,0.0400,28.8
59.2095,8.7723,2.0182,0.0404,28.9
59.1576,8.8043,2.0381,0.0408,29.0
59.1055,8.8363,2.0582,0.0412,29.1
59.0533,8.8685,2.0782,0.0416,29.2
59.0009,8.9007,2.0984,0.0420,29.3
58.9484,8.9330,2.1186,0.0424,29.4
58.8958,8.9653,2.1389,0.0428,29.5
58.8429,8.9978,2.1593,0.0432,29.6
58.7900,9.0303,2.1797,0.0436,29.7
58.7369,9.0628,2.2003,0.0440,29.8
58.6837,9.0955,2.2209,0.0444,29.9
58.6303,9.1282,2.2415,0.0448,30.0
58.5768,9.1609,2.2623,0.0452,30.1
58.5231,9.1938,2.2831,0.0457,30.2
58.4693,9.2267,2.3040,0.0461,30.3
58.4154,9.2597,2.3250,0.0465,30.4
58.3613,9.2927,2.3460,0.0469,30.5
58.3070,9.3258,2.3671,0.0473,30.6
58.2527,9.3590,2.3883,0.0478,30.7
58.1982,9.3923,2.4096,0.0482,30.8
58.1435,9.4256,2.4309,0.0486,30.9
58.0887,9.4590,2.4524,0.0490,31.0
58.0337,9.4924,2.4739,0.0495,31.1
57.9787,9.5259,2.4954,0.0499,31.2
57.9234,9.5595,2.5171,0.0503,31.3
57.8681,9.5931,2.5388,0.0508,31.4
57.8125,9.6269,2.5606,0.0512,31.5
57.7569,9.6606,2.5825,0.0516,31.6
57.7011,9.6945,2.6045,0.0521,31.7
57.6451,9.7284,2.6265,0.0525,31.8
57.5891,9.7624,2.6486,0.0530,31.9
57.5328,9.7964,2.6708,0.0534,32.0
57.4765,9.8305,2.6931,0.0539,32.1
57.4200,9.8646,2.7154,0.0543,32.2
57.3633,9.8989,2.7378,0.0548,32.3
57.3066,9.9332,2.7603,0.0552,32.4
57.2496,9.9675,2.7829,0.0557,32.5
57.1926,10.0019,2.8055,0.0561,32.6
57.1354,10.0364,2.8283,0.0566,32.7
57.0780,10.0709,2.8511,0.0570,32.8
57.0205,10.1055,2.8740,0.0575,32.9
56.9629,10.1402,2.8969,0.0579,33.0
56.9052,10.1749,2.9200,0.0584,33.1
56.8473,10.2097,2.9431,0.0589,33.2
56.7892,10.2445,2.9663,0.0593,33.3
56.7310,10.2794,2.9896,0.0598,33.4
56.6727,10.3143,3.0130,0.0603,33.5
56.6143,10.3494,3.0364,0.0607,33.6
56.5557,10.3844,3.0599,0.0612,33.7
56.4969,10.4196,3.0835,0.0617,33.8
56.4381,10.4547,3.1072,0.0621,33.9
56.3791,10.4900,3.1310,0.0626,34.0
56.3199,10.5253,3.1548,0.0631,34.1
56.2606,10.5606,3.1787,0.0636,34.2
56.2012,10.5961,3.2027,0.0641,34.3
56.1417,10.6315,3.2268,0.0645,34.4
56.0820,10.6670,3.2510,0.0650,34.5
56.0222,10.7026,3.2752,0.0655,34.6
55.9622,10.7383,3.2995,0.0660,34.7
55.9021,10.7739,3.3239,0.0665,34.8
55.8419,10.8097,3.3484,0.0670,34.9
55.7815,10.8455,3.3730,0.0675,35.0
55.7210,10.8813,3.3976,0.0680,35.1
55.6604,10.9172,3.4224,0.0684,35.2
55.5996,10.9532,3.4472,0.0689,35.3
55.5387,10.9892,3.4721,0.0694,35.4
55.4777,11.0253,3.4971,0.0699,35.5
55.4165,11.0614,3.5221,0.0704,35.6
55.3552,11.0975,3.5473,0.0709,35.7
55.2938,11.1337,3.5725,0.0714,35.8
55.2322,11.1700,3.5978,0.0720,35.9
55.1706,11.2063,3.6232,0.0725,36.0
55.1087,11.2427,3.6486,0.0730,36.1
55.0468,11.2791,3.6742,0.0735,36.2
54.9847,11.3155,3.6998,0.0740,36.3
54.9225,11.3520,3.7255,0.0745,36.4
54.8601,11.3886,3.7513,0.0750,36.5
54.7976,11.4252,3.7772,0.0755,36.6
54.7350,11.4618,3.8032,0.0761,36.7
54.6723,11.4985,3.8292,0.0766,36.8
54.6094,11.5352,3.8554,0.0771,36.9
54.5464,11.5720,3.8816,0.0776,37.0
54.4833,11.6088,3.9079,0.0782,37.1
54.4201,11.6457,3.9343,0.0787,37.2
54.3567,11.6826,3.9607,0.0792,37.3
54.2932,11.7195,3.9873,0.0797,37.4
54.2296,11.7565,4.0139,0.0803,37.5
54.1658,11.7936,4.0406,0.0808,37.6
54.1019,11.8306,4.0674,0.0813,37.7
54.0379,11.8678,4.0943,0.0819,37.8
53.9738,11.9049,4.1213,0.0824,37.9
53.9095,11.9421,4.1484,0.0830,38.0
53.8451,11.9794,4.1755,0.0835,38.1
53.7806,12.0166,4.2027,0.0841,38.2
53.7160,12.0540,4.2300,0.0846,38.3
53.6513,12.0913,4.2574,0.0851,38.4
53.5864,12.1287,4.2849,0.0857,38.5
53.5214,12.1661,4.3125,0.0862,38.6
53.4563,12.2036,4.3401,0.0868,38.7
53.3911,12.2411,4.3679,0.0874,38.8
53.3257,12.2786,4.3957,0.0879,38.9
53.2602,12.3162,4.4236,0.0885,39.0
53.1946,12.3538,4.4516,0.0890,39.1
53.1289,12.3914,4.4797,0.0896,39.2
53.0631,12.4291,4.5078,0.0902,39.3
52.9971,12.4668,4.5361,0.0907,39.4
52.9310,12.5046,4.5644,0.0913,39.5
52.8649,12.5423,4.5928,0.0919,39.6
52.7986,12.5801,4.6213,0.0924,39.7
52.7321,12.6180,4.6499,0.0930,39.8
52.6656,12.6558,4.6786,0.0936,39.9
52.5989,12.6937,4.7074,0.0941,40.0
52.5322,12.7316,4.7362,0.0947,40.1
52.4653,12.7696,4.7651,0.0953,40.2
52.3983,12.8075,4.7942,0.0959,40.3
52.3312,12.8455,4.8233,0.0965,40.4
52.2640,12.8836,4.8525,0.0970,40.5
52.1966,12.9216,4.8817,0.0976,40.6
52.1292,12.9597,4.9111,0.0982,40.7
52.0616,12.9978,4.9406,0.0988,40.8
51.9940,13.0359,4.9701,0.0994,40.9
51.9262,13.0741,4.9997,0.1000,41.0
51.8583,13.1123,5.0295,0.1006,41.1
51.7903,13.1505,5.0593,0.1012,41.2
51.7222,13.1887,5.0891,0.1018,41.3
51.6540,13.2269,5.1191,0.1024,41.4
51.5856,13.2652,5.1492,0.1030,41.5
51.5172,13.3035,5.1793,0.1036,41.6
51.4487,13.3418,5.2096,0.1042,41.7
51.3800,13.3801,5.2399,0.1048,41.8
51.3113,13.4184,5.2703,0.1054,41.9
51.2424,13.4568,5.3008,0.1060,42.0
51.1735,13.4951,5.3314,0.1066,42.1
51.1044,13.5335,5.3620,0.1072,42.2
51.0353,13.5719,5.3928,0.1079,42.3
50.9660,13.6104,5.4236,0.1085,42.4
50.8966,13.6488,5.4546,0.1091,42.5
50.8272,13.6872,5.4856,0.1097,42.6
50.7576,13.7257,5.5167,0.1103,42.7
50.6879,13.7642,5.5479,0.1110,42.8
50.6182,13.8027,5.5792,0.1116,42.9
50.5483,13.8412,5.6105,0.1122,43.0
50.4783,13.8797,5.6420,0.1128,43.1
50.4083,13.9182,5.6736,0.1135,43.2
50.3381,13.9567,5.7052,0.1141,43.3
50.2679,13.9952,5.7369,0.1147,43.4
50.1975,14.0338,5.7687,0.1154,43.5
50.1271,14.0723,5.8006,0.1160,43.6
50.0565,14.1109,5.8326,0.1167,43.7
49.9859,14.1495,5.8647,0.1173,43.8
49.9152,14.1880,5.8968,0.1179,43.9
49.8443,14.2266,5.9291,0.1186,44.0
49.7734,14.2652,5.9614,0.1192,44.1
49.7024,14.3038,5.9938,0.1199,44.2
49.6313,14.3423,6.0263,0.1205,44.3
49.5602,14.3809,6.0589,0.1212,44.4
49.4889,14.4195,6.0916,0.1218,44.5
49.4175,14.4581,6.1244,0.1225,44.6
49.3461,14.4967,6.1572,0.1231,44.7
49.2745,14.5353,6.1902,0.1238,44.8
49.2029,14.5739,6.2232,0.1245,44.9
49.1312,14.6125,6.2563,0.1251,45.0
49.0594,14.6510,6.2896,0.1258,45.1
48.9875,14.6896,6.3228,0.1265,45.2
48.9156,14.7282,6.3562,0.1271,45.3
48.8435,14.7668,6.3897,0.1278,45.4
48.7714,14.8053,6.4233,0.1285,45.5
48.6992,14.8439,6.4569,0.1291,45.6
48.6269,14.8824,6.4907,0.1298,45.7
48.5545,14.9210,6.5245,0.1305,45.8
48.4821,14.9595,6.5584,0.1312,45.9
48.4096,14.9981,6.5924,0.1318,46.0
48.3370,15.0366,6.6265,0.1325,46.1
48.2643,15.0751,6.6606,0.1332,46.2
48.1915,15.1136,6.6949,0.1339,46.3
48.1187,15.1521,6.7293,0.1346,46.4
48.0458,15.1905,6.7637,0.1353,46.5
47.9728,15.2290,6.7982,0.1360,46.6
47.8997,15.2674,6.8328,0.1367,46.7
47.8266,15.3059,6.8675,0.1374,46.8
47.7534,15.3443,6.9023,0.1380,46.9
47.6801,15.3827,6.9372,0.1387,47.0
47.6068,15.4211,6.9721,0.1394,47.1
47.5334,15.4594,7.0072,0.1401,47.2
47.4599,15.4978,7.0423,0.1408,47.3
47.3863,15.5361,7.0776,0.1416,47.4
47.3127,15.5744,7.1129,0.1423,47.5
47.2390,15.6127,7.1483,0.1430,47.6
47.1653,15.6510,7.1837,0.1437,47.7
47.0914,15.6892,7.2193,0.1444,47.8
47.0176,15.7275,7.2550,0.1451,47.9
46.9436,15.7657,7.2907,0.1458,48.0
46.8696,15.8039,7.3265,0.1465,48.1
46.7955,15.8420,7.3625,0.1472,48.2
46.7214,15.8801,7.3985,0.1480,48.3
46.6472,15.9182,7.4346,0.1487,48.4
46.5730,15.9563,7.4707,0.1494,48.5
46.4986,15.9944,7.5070,0.1501,48.6
46.4243,16.0324,7.5434,0.1509,48.7
46.3498,16.0704,7.5798,0.1516,48.8
46.2754,16.1083,7.6163,0.1523,48.9
46.2008,16.1463,7.6529,0.1531,49.0
46.1262,16.1842,7.6896,0.1538,49.1
46.0516,16.2220,7.7264,0.1545,49.2
45.9769,16.2599,7.7633,0.1553,49.3
45.9021,16.2977,7.8002,0.1560,49.4
45.8273,16.3354,7.8373,0.1567,49.5
45.7524,16.3732,7.8744,0.1575,49.6
45.6775,16.4109,7.9116,0.1582,49.7
45.6026,16.4485,7.9489,0.1590,49.8
45.5275,16.4862,7.9863,0.1597,49.9
45.4525,16.5238,8.0238,0.1605,50.0
45.3774,16.5613,8.0613,0.1612,50.1
45.3022,16.5988,8.0989,0.1620,50.2
45.2270,16.6363,8.1367,0.1627,50.3
45.1518,16.6737,8.1745,0.1635,50.4
45.0765,16.7111,8.2124,0.1642,50.5
45.0012,16.7485,8.2504,0.1650,50.6
44.9258,16.7858,8.2884,0.1658,50.7
44.8504,16.8230,8.3266,0.1665,50.8
44.7750,16.8602,8.3648,0.1673,50.9
44.6995,16.8974,8.4031,0.1681,51.0
44.6239,16.9345,8.4415,0.1688,51.1
44.5484,16.9716,8.4800,0.1696,51.2
44.4728,17.0087,8.5186,0.1704,51.3
44.3971,17.0456,8.5572,0.1711,51.4
44.3214,17.0826,8.5960,0.1719,51.5
44.2457,17.1195,8.6348,0.1727,51.6
44.1700,17.1563,8.6737,0.1735,51.7
44.0942,17.1931,8.7127,0.1743,51.8
44.0184,17.2298,8.7518,0.1750,51.9
43.9425,17.2665,8.7909,0.1758,52.0
43.8667,17.3031,8.8302,0.1766,52.1
43.7908,17.3397,8.8695,0.1774,52.2
43.7148,17.3762,8.9089,0.1782,52.3
43.6389,17.4127,8.9484,0.1790,52.4
43.5629,17.4491,8.9880,0.1798,52.5
43.4869,17.4855,9.0276,0.1806,52.6
43.4108,17.5218,9.0674,0.1813,52.7
43.3348,17.5580,9.1072,0.1821,52.8
43.2587,17.5942,9.1471,0.1829,52.9
43.1826,17.6303,9.1871,0.1837,53.0
43.1064,17.6664,9.2272,0.1845,53.1
43.0303,17.7024,9.2673,0.1853,53.2
42.9541,17.7383,9.3075,0.1862,53.3
42.8779,17.7742,9.3479,0.1870,53.4
42.8017,17.8100,9.3883,0.1878,53.5
42.7255,17.8458,9.4287,0.1886,53.6
42.6492,17.8815,9.4693,0.1894,53.7
42.5730,17.9171,9.5099,0.1902,53.8
42.4967,17.9527,9.5507,0.1910,53.9
42.4204,17.9882,9.5915,0.1918,54.0
42.3441,18.0236,9.6323,0.1926,54.1
42.2678,18.0589,9.6733,0.1935,54.2
42.1914,18.0942,9.7143,0.1943,54.3
42.1151,18.1294,9.7555,0.1951,54.4
42.0387,18.1646,9.7967,0.1959,54.5
41.9624,18.1997,9.8380,0.1968,54.6
41.8860,18.2347,9.8793,0.1976,54.7
41.8096,18.2696,9.9208,0.1984,54.8
41.7332,18.3045,9.9623,0.1992,54.9
41.6568,18.3393,10.0039,0.2001,55.0
41.5805,18.3740,10.0456,0.2009,55.1
41.5041,18.4086,10.0873,0.2017,55.2
41.4276,18.4432,10.1292,0.2026,55.3
41.3512,18.4777,10.1711,0.2034,55.4
41.2748,18.5121,10.2131,0.2043,55.5
41.1984,18.5464,10.2551,0.2051,55.6
41.1220,18.5807,10.2973,0.2059,55.7
41.0456,18.6149,10.3395,0.2068,55.8
40.9692,18.6490,10.3818,0.2076,55.9
40.8928,18.6830,10.4242,0.2085,56.0
40.8164,18.7169,10.4667,0.2093,56.1
40.7400,18.7508,10.5092,0.2102,56.2
40.6636,18.7845,10.5518,0.2110,56.3
40.5872,18.8182,10.5945,0.2119,56.4
40.5108,18.8519,10.6373,0.2127,56.5
40.4345,18.8854,10.6801,0.2136,56.6
40.3581,18.9188,10.7231,0.2145,56.7
40.2818,18.9522,10.7661,0.2153,56.8
40.2054,18.9854,10.8091,0.2162,56.9
40.1291,19.0186,10.8523,0.2170,57.0
40.0528,19.0517,10.8955,0.2179,57.1
39.9765,19.0847,10.9388,0.2188,57.2
39.9002,19.1176,10.9822,0.2196,57.3
39.8239,19.1505,11.0256,0.2205,57.4
39.7476,19.1832,11.0691,0.2214,57.5
39.6714,19.2159,11.1127,0.2223,57.6
39.5951,19.2484,11.1564,0.2231,57.7
39.5189,19.2809,11.2002,0.2240,57.8
39.4427,19.3133,11.2440,0.2249,57.9
39.3666,19.3456,11.2879,0.2258,58.0
39.2904,19.3778,11.3318,0.2266,58.1
