S,I,R,mortes,tempo
68,2,0,0,0
67.9864,2.0113,0.0023,0.0000,0.1
67.9727,2.0227,0.0046,0.0001,0.2
67.9590,2.0342,0.0069,0.0001,0.3
67.9452,2.0457,0.0092,0.0002,0.4
67.9313,2.0573,0.0115,0.0002,0.5
67.9173,2.0689,0.0138,0.0003,0.6
67.9032,2.0806,0.0162,0.0003,0.7
67.8891,2.0924,0.0185,0.0004,0.8
67.8749,2.1042,0.0209,0.0004,0.9
67.8606,2.1161,0.0233,0.0005,1.0
67.8462,2.1280,0.0257,0.0005,1.1
67.8318,2.1400,0.0281,0.0006,1.2
67.8173,2.1521,0.0306,0.0006,1.3
67.8027,2.1643,0.0330,0.0007,1.4
67.7880,2.1765,0.0355,0.0007,1.5
67.7733,2.1888,0.0379,0.0008,1.6
67.7584,2.2011,0.0404,0.0008,1.7
67.7435,2.2135,0.0429,0.0009,1.8
67.7285,2.2260,0.0455,0.0009,1.9
67.7135,2.2386,0.0480,0.0010,2.0
67.6983,2.2512,0.0505,0.0010,2.1
67.6831,2.2639,0.0531,0.0011,2.2
67.6677,2.2766,0.0557,0.0011,2.3
67.6523,2.2894,0.0582,0.0012,2.4
67.6368,2.3023,0.0608,0.0012,2.5
